restaurant_name,avg_rating,avg_del_time,total_orders,avg_cost,perf_score
Cafeteria,4.222222222222222,24.0,9,13.9,42.9
CafÌ© China,4.333333333333333,23.666666666666668,6,19.895,45.4
Carmine's,5.0,30.0,3,23.653333333333336,46.1
Chipotle Mexican Grill $1.99 Delivery,4.478260869565218,23.869565217391305,23,21.37782608695652,49.8
Cho Dang Gol,4.666666666666667,19.333333333333332,6,14.198333333333332,60.5
Chola Eclectic Indian Cuisine,5.0,28.0,1,8.73,49.7
Chote Nawab,5.0,30.0,1,16.15,45.8
Cipriani Le Specialita,5.0,30.0,1,5.92,45.8
Coppola's East,5.0,16.0,1,13.05,73.1
Crema Restaurante,5.0,30.0,1,15.86,45.8
Delicatessen,4.6,19.4,5,22.786,58.9
DespaÌ±a,5.0,19.5,2,16.52,66.4
Dickson's Farmstand Meats,4.666666666666667,22.666666666666668,3,20.31,53.7
Dig Inn Seasonal Market,5.0,26.0,1,15.71,53.6
Dirty Bird To Go (archived),4.666666666666667,27.0,3,12.08,45.2
Dirty Bird to Go,4.5,24.75,4,13.8125,46.4
Don's Bogam BBQ & Wine Bar,4.0,20.666666666666668,3,12.969999999999999,44.2
Donburi-ya,5.0,26.142857142857142,7,10.790000000000001,54.0
Dos Caminos,5.0,24.5,8,11.9025,57.3
Dos Caminos Soho,5.0,30.0,1,12.66,45.8
DuMont Burger,4.333333333333333,23.0,3,21.953333333333333,46.3
El Parador Cafe,5.0,23.0,2,18.695,59.6
Empanada Mama (closed),4.538461538461538,23.846153846153847,13,16.408461538461538,49.9
Emporio,5.0,29.0,1,31.43,47.8
Five Guys Burgers and Fries,4.724137931034483,23.413793103448278,29,17.46448275862069,56.3
Five Leaves,4.75,22.25,4,9.45,56.2
Frank Restaurant,4.0,31.0,1,12.08,23.9
Friend of a Farmer,5.0,26.333333333333332,3,14.549999999999999,53.2
Gaia Italian Cafe,5.0,15.0,1,8.78,75.0
Galli Restaurant,5.0,16.0,1,16.06,73.1
Go! Go! Curry!,4.0,23.666666666666668,3,22.41,38.4
Grand Sichuan International,5.0,29.25,4,19.5225,47.6
Haandi,4.5,30.5,2,9.385,35.0
Hampton Chutney Co.,4.0,20.0,1,12.37,45.3
Han Dynasty,4.717391304347826,23.152173913043477,46,16.419347826086955,58.7
Hangawi,5.0,21.0,2,18.745,63.4
Haru Gramercy Park,5.0,32.0,1,29.83,41.9
Hatsuhana,4.166666666666667,25.166666666666668,6,18.796666666666667,39.1
Haveli Indian Restaurant,3.0,25.0,2,17.41,15.7
Hibino,4.0,15.0,1,14.02,55.0
Hill Country Fried Chicken,4.5,22.642857142857142,14,20.884999999999998,51.6
Hiroko's Place,5.0,27.0,1,13.05,51.7
Hot Kitchen,5.0,26.5,2,21.27,52.8
Hummus Place,4.666666666666667,24.333333333333332,3,18.316666666666666,50.4
Hunan Manor,5.0,26.0,1,5.72,53.6
Il Bambino,4.0,29.0,1,29.25,27.8
Izakaya Ten,4.333333333333333,22.0,3,10.433333333333334,48.3
J. G. Melon,4.533333333333333,25.0,15,12.777333333333333,47.8
Jack's Wife Freda,4.48,22.72,25,16.67,52.3
Joe's Shanghai _Àü£¾÷´,4.0,24.75,4,17.5925,36.4
Junoon,5.0,26.6,5,23.05,52.9
Kambi Ramen House,5.0,19.0,1,32.93,67.2
Kanoyama,5.0,24.333333333333332,3,23.686666666666667,57.1
Klong,5.0,24.0,1,29.05,57.5
Kori Restaurant and Bar,4.0,26.0,1,12.18,33.6
L'Express,4.666666666666667,25.666666666666668,6,20.67833333333333,48.2
La Follia,5.0,20.0,1,8.05,65.3
Lamarca Pasta,5.0,19.0,1,9.22,67.2
Lantern Thai Kitchen,5.0,25.0,4,19.572499999999998,55.9
Le Grainne Cafe,4.5,23.0,2,22.605,49.6
Le Zie 2000 Trattoria,5.0,30.0,1,15.47,45.8
Lucky Strike,4.0,21.0,1,29.25,43.3
Lucky's Famous Burgers,4.833333333333333,24.333333333333332,6,10.638333333333334,54.1
Mamoun's Falafel,4.571428571428571,24.857142857142858,7,11.824285714285713,47.9
Market Table,5.0,17.0,1,6.79,71.1
Melt Shop,4.454545454545454,23.454545454545453,11,16.125454545454545,48.8
Mira Sushi,4.5,27.5,2,12.42,40.8
Mission Cantina,5.0,23.8,5,17.49,58.3
Momoya,4.466666666666667,25.133333333333333,30,16.404333333333334,48.0
Moonstruck on Second,5.0,20.0,1,14.94,65.3
Nha Trang One,3.0,24.0,1,15.67,17.5
Nobu Next Door,4.642857142857143,24.571428571428573,42,14.849285714285713,53.9
Olea,4.666666666666667,22.666666666666668,3,14.373333333333335,53.7
Olive Garden,5.0,24.0,2,11.420000000000002,57.6
Osteria Morini,4.571428571428571,24.785714285714285,14,12.445714285714287,48.9
Otto Enoteca Pizzeria,4.916666666666667,22.916666666666668,12,17.61583333333333,59.2
P.J. Clarke's,4.533333333333333,23.8,15,18.73,50.2
Parm,4.5,25.5,68,16.364117647058823,52.3
Paul & Jimmy's,5.0,15.0,1,16.05,75.0
Pepe Giallo,3.0,24.0,1,14.6,17.5
Pepe Rosso To Go,4.285714285714286,24.285714285714285,7,16.708571428571428,43.3
Philippe Chow,5.0,30.0,1,24.2,45.8
Piccolo Angolo,4.5,27.5,2,17.630000000000003,40.8
Pinto Nouveau Thai Bistro,4.75,20.5,4,18.105,59.6
Pongsri Thai,4.5,24.5,2,16.615000000000002,46.6
Posto,5.0,25.0,1,24.25,55.6
Prosperity Dumpling,5.0,26.0,3,13.276666666666666,53.8
Pylos,3.8,26.8,5,18.85,28.5
Ravagh Persian Grill,5.0,25.0,3,15.686666666666667,55.8
RedFarm Broadway,4.47457627118644,23.152542372881356,59,16.35813559322034,55.3
RedFarm Hudson,4.490909090909091,24.2,55,16.74927272727273,53.1
Rohm Thai,5.0,23.0,1,29.1,59.4
Room Service,5.0,21.0,3,13.743333333333334,63.6
Rubirosa,4.4324324324324325,23.675675675675677,37,17.85,50.9
Rye House,4.0,30.0,1,12.13,25.8
S'MAC,4.833333333333333,24.75,12,15.214999999999998,54.0
Samurai Mama,5.0,18.0,1,11.64,69.2
Sarabeth's,4.0,24.333333333333332,3,29.133333333333336,37.1
Sarabeth's East,4.428571428571429,23.571428571428573,7,16.091428571428573,47.6
Sarabeth's Restaurant,4.857142857142857,26.0,7,18.259999999999998,51.4
Sarabeth's West,3.0,33.0,1,14.12,0.0
Saravanaa Bhavan,5.0,27.0,5,14.038,52.1
Schnipper's Quality Kitchen,4.666666666666667,18.666666666666668,3,17.14,61.4
Serafina Fabulous Pizza,4.4,28.4,5,17.54,37.4
Shake Shack,4.561643835616438,24.662100456621005,219,16.34488584474886,72.4
Socarrat Paella Bar,5.0,20.0,1,25.22,65.3
Song Thai Restaurant & Bar,5.0,27.0,2,26.7,51.8
Spice Thai,5.0,25.0,1,15.86,55.6
Sushi Choshi,3.0,27.0,1,13.73,11.7
Sushi Samba,4.909090909090909,24.636363636363637,11,16.962727272727275,55.6
Sushi of Gari,4.875,21.9375,16,18.19875,60.7
Sushi of Gari 46,4.648648648648648,25.972972972972972,37,17.320810810810812,50.8
Sushi of Gari Tribeca,4.791666666666667,23.75,24,15.657916666666667,56.5
TAO,4.63265306122449,23.163265306122447,49,17.03061224489796,57.3
Tamarind TriBeCa,4.555555555555555,23.444444444444443,27,15.804074074074073,52.7
Tarallucci e Vino Restaurant,5.0,24.0,2,20.345,57.6
Taro Sushi,5.0,32.0,1,16.05,41.9
Terakawa Ramen,4.0,22.333333333333332,3,14.263333333333334,41.0
The Kati Roll Company,4.8125,23.1875,16,18.88375,57.1
The Loop,4.75,26.25,4,19.33,48.5
The MasalaWala,4.0,15.0,1,12.13,55.0
The Meatball Shop,4.6893939393939394,24.242424242424242,132,16.251590909090908,65.8
The Odeon,4.0,23.666666666666668,3,11.17,38.4
The Smile,4.611111111111111,23.88888888888889,18,14.571111111111113,51.9
Tony's Di Napoli,4.8,26.2,5,15.220000000000002,49.7
Tortaria,5.0,21.75,4,13.57,62.2
Tres Carnes,4.333333333333333,27.0,3,20.873333333333335,38.6
UVA Wine Bar & Restaurant,5.0,27.5,2,21.9,50.8
V-Nam Cafe,4.25,25.5,4,13.120000000000001,39.9
Vanessa's Dumpling House,5.0,24.22222222222222,9,14.205555555555556,58.0
Vanessa's Dumplings,4.846153846153846,23.692307692307693,13,15.840769230769231,56.4
Vezzo Thin Crust Pizza,5.0,24.8,5,13.748000000000001,56.4
Wa Jeal,5.0,24.0,1,6.74,57.5
Waverly Diner,4.285714285714286,24.142857142857142,7,15.209999999999999,43.6
Westville Hudson,4.733333333333333,21.733333333333334,15,19.505999999999997,58.2
Wo Hop Restaurant,4.0,16.0,1,14.16,53.1
Woorijip,3.0,26.0,1,8.25,13.6
Xe May Sandwich Shop,5.0,28.5,2,11.015,48.9
Xi'an Famous Foods,4.444444444444445,25.333333333333332,9,13.696666666666665,44.7
Yama 49,5.0,25.8,5,20.322,54.5
Yama Japanese Restaurant,4.777777777777778,24.055555555555557,18,14.254999999999999,54.9
Zero Otto Nove,4.5,21.5,2,9.025,52.5
brgr,4.0,25.0,2,9.895,35.7
da Umberto,5.0,28.0,3,17.62,50.0
ilili Restaurant,4.388888888888889,24.88888888888889,18,19.067777777777778,45.5
indikitch,4.75,25.5,4,12.7925,49.9
